Dry bulb temp (C),RH,Pressure
-13,2.3401,99
-13,2.3416,99
-13,2.3431,99
-14,2.3446,99
-14,2.3461,99
-14,2.3476,99
-14,2.3491,99
-14,2.3506,99
-14,2.3521,99
-14,2.3536,99
-15,2.3551,99
-15,2.3566,99
-15,2.3581,99
-15,2.3596,99
-15,2.3611,99
-15,2.3626,99
-15,2.3641,99
-14,2.3656,99
-12,2.3671,99
-11,2.3686,99
-10,2.3701,99
-10,2.3716,99
-9,2.3731,99
-9,2.3746,99
-9,2.3761,99
-9,2.3776,99
-11,2.3791,99
-12,2.3806,99
-13,2.3821,99
-13,2.3836,99
-13,2.3851,99
-13,2.3866,99
-12,2.3881,99
-12,2.3896,99
-11,2.3911,99
-10,2.3926,98
-10,2.3941,98
-9,2.3956,98
-9,2.3971,98
-9,2.3986,98
-8,2.4001,98
-7,2.4016,98
-6,2.4031,98
-5,2.4046,98
-4,2.4061,98
-3,2.4076,98
-3,2.4091,98
-3,2.4106,98
-2,2.4121,98
-2,2.4136,98
-2,2.4151,98
-3,2.4166,98
-3,2.4181,98
-3,2.4196,98
-3,2.4211,97
-3,2.4226,97
-3,2.4241,97
-3,2.4256,97
-3,2.4271,97
-3,2.4286,97
-3,2.4301,97
-3,2.4316,97
-3,2.4331,97
-3,2.4346,97
-3,2.4361,97
-3,2.4376,97
-2,2.4391,97
-1,2.4406,97
-1,2.4421,97
-1,2.4436,97
-1,2.4451,97
-1,2.4466,97
-1,2.4481,97
-2,2.4496,97
-3,2.4511,97
-4,2.4526,97
-5,2.4541,97
-5,2.4556,97
-6,2.4571,97
-6,2.4586,97
-6,2.4601,97
-7,2.4616,97
-7,2.4631,97
-6,2.4646,98
-6,2.4661,98
-5,2.4676,98
-5,2.4691,98
-4,2.4706,98
-4,2.4721,98
-3,2.4736,98
-2,2.4751,98
-1,2.4766,98
-1,2.4781,98
-1,2.4796,98
-1,2.4811,98
-2,2.4826,98
-2,2.4841,98
-3,2.4856,98
-5,2.4871,99
-6,2.4886,99
-7,2.4901,99
-8,2.4916,99
-8,2.4931,99
-9,2.4946,99
-9,2.4961,99
-9,2.4976,99
-9,2.4991,99
-10,2.5006,99
-10,2.5021,99
-10,2.5036,99
-11,2.5051,99
-12,2.5066,99
-13,2.5081,99
-12,2.5096,100
-9,2.5111,100
-6,2.5126,100
-4,2.5141,100
-3,2.5156,100
-3,2.5171,100
-2,2.5186,100
-2,2.5201,100
-3,2.5216,99
-5,2.5231,99
-7,2.5246,99
-8,2.5261,99
-7,2.5276,99
-6,2.5291,99
-5,2.5306,99
-5,2.5321,99
-4,2.5336,99
-4,2.5351,99
-4,2.5366,99
-4,2.5381,99
-3,2.5396,99
-3,2.5411,99
-3,2.5426,98
-2,2.5441,98
-1,2.5456,98
0,2.5471,98
1,2.5486,98
3,2.5501,98
4,2.5516,97
5,2.5531,97
5,2.5546,97
5,2.5561,97
5,2.5576,97
5,2.5591,97
6,2.5606,97
6,2.5621,96
6,2.5636,96
6,2.5651,96
6,2.5666,96
5,2.5681,96
4,2.5696,96
3,2.5711,97
2,2.5726,97
2,2.5741,97
1,2.5756,97
1,2.5771,97
1,2.5786,97
1,2.5801,97
1,2.5816,97
3,2.5831,97
5,2.5846,97
6,2.5861,97
8,2.5876,97
11,2.5891,97
11,2.5906,97
9,2.5921,97
8,2.5936,97
5,2.5951,97
2,2.5966,97
1,2.5981,97
0,2.5996,97
0,2.6011,97
0,2.6026,97
0,2.6041,98
0,2.6056,98
0,2.6071,98
0,2.6086,98
0,2.6101,98
0,2.6116,98
0,2.6131,98
0,2.6146,98
0,2.6161,98
0,2.6176,98
1,2.6191,98
3,2.6206,98
4,2.6221,98
5,2.6236,98
5,2.6251,98
5,2.6266,98
4,2.6281,98
3,2.6296,98
2,2.6311,98
0,2.6326,98
-1,2.6341,98
-2,2.6356,98
-3,2.6371,98
-4,2.6386,98
-4,2.6401,98
-4,2.6416,98
-4,2.6431,98
-4,2.6446,98
-4,2.6461,98
-4,2.6476,98
-4,2.6491,98
-4,2.6506,98
-4,2.6521,98
-3,2.6536,99
-2,2.6551,99
0,2.6566,99
0,2.6581,99
0,2.6596,99
1,2.6611,99
1,2.6626,98
1,2.6641,98
0,2.6656,98
0,2.6671,98
-1,2.6686,98
-2,2.6701,98
-2,2.6716,98
-3,2.6731,98
-3,2.6746,98
-4,2.6761,98
-4,2.6776,98
-4,2.6791,99
-4,2.6806,99
-4,2.6821,99
-4,2.6836,99
-4,2.6851,99
-4,2.6866,99
-4,2.6881,99
-3,2.6896,98
-1,2.6911,98
0,2.6926,98
0,2.6941,98
2,2.6956,98
3,2.6971,98
3,2.6986,98
2,2.7001,98
1,2.7016,98
0,2.7031,98
-1,2.7046,98
-2,2.7061,98
-2,2.7076,98
-2,2.7091,98
-2,2.7106,98
-2,2.7121,98
-2,2.7136,98
-2,2.7151,98
-1,2.7166,98
-1,2.7181,98
-1,2.7196,98
-1,2.7211,97
0,2.7226,97
0,2.7241,97
0,2.7256,97
0,2.7271,97
0,2.7286,97
0,2.7301,97
0,2.7316,96
0,2.7331,96
0,2.7346,96
0,2.7361,96
0,2.7376,96
0,2.7391,96
0,2.7406,95
0,2.7421,95
0,2.7436,95
0,2.7451,95
0,2.7466,95
0,2.7481,95
0,2.7496,95
0,2.7511,95
0,2.7526,95
-1,2.7541,95
-1,2.7556,95
-1,2.7571,95
-1,2.7586,95
-1,2.7601,95
-2,2.7616,95
-2,2.7631,96
-1,2.7646,96
-1,2.7661,96
-1,2.7676,96
-1,2.7691,96
-2,2.7706,96
-3,2.7721,96
-3,2.7736,97
-3,2.7751,97
-4,2.7766,97
-4,2.7781,97
-5,2.7796,97
-5,2.7811,97
-5,2.7826,97
-5,2.7841,97
-5,2.7856,97
-6,2.7871,97
-6,2.7886,98
-6,2.7901,98
-6,2.7916,98
-6,2.7931,98
-6,2.7946,98
-7,2.7961,98
-6,2.7976,98
-5,2.7991,98
-5,2.8006,98
-4,2.8021,98
-4,2.8036,98
-4,2.8051,98
-4,2.8066,98
-4,2.8081,98
-4,2.8096,98
-5,2.8111,98
-6,2.8126,98
-7,2.8141,98
-7,2.8156,98
-7,2.8171,98
-7,2.8186,98
-8,2.8201,98
-7,2.8216,98
-6,2.8231,98
-5,2.8246,98
-5,2.8261,98
-4,2.8276,98
-4,2.8291,98
-5,2.8306,98
-4,2.8321,98
-3,2.8336,98
-2,2.8351,98
0,2.8366,98
0,2.8381,98
0,2.8396,97
0,2.8411,97
0,2.8426,97
1,2.8441,97
1,2.8456,97
1,2.8471,97
0,2.8486,97
0,2.8501,97
1,2.8516,97
1,2.8531,97
1,2.8546,97
1,2.8561,97
1,2.8576,97
1,2.8591,97
0,2.8606,97
0,2.8621,97
0,2.8636,97
0,2.8651,97
1,2.8666,97
1,2.8681,97
1,2.8696,97
1,2.8711,97
2,2.8726,97
3,2.8741,97
4,2.8756,97
6,2.8771,97
7,2.8786,96
8,2.8801,96
8,2.8816,96
7,2.8831,96
6,2.8846,96
6,2.8861,96
-4,2.8876,98
-4,2.8891,98
-4,2.8906,98
-3,2.8921,98
-3,2.8936,98
-3,2.8951,98
-3,2.8966,98
-3,2.8981,98
-3,2.8996,98
-3,2.9011,98
-3,2.9026,98
-4,2.9041,98
-3,2.9056,99
-2,2.9071,99
-1,2.9086,99
-1,2.9101,99
-1,2.9116,99
0,2.9131,99
0,2.9146,99
0,2.9161,99
0,2.9176,99
-1,2.9191,99
-2,2.9206,99
-3,2.9221,99
